ID,Material,Spec,Form,Condition,Thickness,Basis,Ftu_L,Ftu_LT,Ftu_ST,Fty_L,Fty_LT,Fty_ST,Fcy_L,Fcy_LT,Fcy_ST,Fsu LS,Fsu TS,Fsu SL,Fbru(ed=1.5)_L,Fbru(ed=1.5)_LT,Fbru(ed=1.5)_ST,Fbru(ed=2.0)_L,Fbru(ed=2.0)_LT,Fbru(ed=2.0)_ST,Fbry(ed=1.5)_L,Fbry(ed=1.5)_LT,Fbry(ed=1.5)_ST,Fbry(ed=2.0)_L,Fbry(ed=2.0)_LT,Fbry(ed=2.0)_ST,e_L,e_LT,e_ST,E_L Pri,E_LT Pri,E_ST Pri,E_L Sec,E_LT Sec,E_ST Sec,Ec_L Pri,Ec_LT Pri,Ec_ST Pri,Ec_L,Ec_LT,Ec_ST,G,v,density,Ref,Table,Material Desc,Form Desc
1,AISI 1025,"AMS5046, Type 2, and MIL-S-7952, 1025","Sheet, strip, plate",Annealed,,S,55,55, ,36,36, ,36,36, ,35, , , , , ,90, , , , , , , , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.2.1.0 b),Carbon Steel,AISI 1025 Annealed 
2,AISI 1025,"AMS 5075, AMS 5077, Mil-T-5066",Tubing,Normalized,,S,55,55, ,36,36, ,36,36, ,35, , , , , ,90, , , , , , , , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.2.1.0 b),Carbon Steel,AISI 1025 Normalized 
3,AISI 1025,"MIL-S-7097, Comp 3",Bar,All,,S,55,55,55,36,36,36,36,36,36,35, , , , , ,90, , , , , , , , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.2.1.0 b),Carbon Steel,AISI 1025 All 
4,"AISI 4130,4135,8630,8735", ,"Sheet, strip, plate, tubing",N,<=0.187,S,95,95,95,75,75,75,75,75,75,57, , , , , ,200, , , , , ,129, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130,4135,8630,8735 N <=0.187"
5,"AISI 4130,4135,8630,8735", ,"Sheet, strip, plate, tubing",N,>0.187,S,90,90,90,70,70,70,70,70,70,54, , , , , ,190, , , , , ,120, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130,4135,8630,8735 N >0.187"
6,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,125,125,125,100,100,100,109,109,109,75, , ,194, , ,251, , ,146, , ,175, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
7,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,140,140,140,120,120,120,131,131,131,84, , ,209, , ,273, , ,173, , ,203, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
8,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,150,150,150,132,132,132,145,145,145,90, , ,219, , ,287, , ,187, , ,218, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
9,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,160,160,160,142,142,142,154,154,154,96, , ,230, , ,300, , ,202, , ,231, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
10,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,180,180,180,163,163,163,173,173,173,108, , ,250, , ,326, , ,230, , ,253, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
11,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M",,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,200,200,200,176,176,176,181,181,181,120, , ,272, , ,355, , ,255, , ,280, , ,,,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 c),Low Alloy Steel,"AISI 4130, 8630, 8740, 8735, 4135,8740,4140,4340, AMS Grades, D6AC, 300M Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
12,HyTuf 4330V,,All wrought forms,"Quenched, tempered",Mil Hdbk 5G Table 2.3.0.2,S,220,220,220,185,185,185,193,193,193,132, , ,297, , ,385, , ,267, , ,294, , ,10,5,,29, , , , , ,29, , ,, , ,11,0.32,0.283,Mil Hdbk5-G,2.3.1.0 f),Low Alloy Steel,"HyTuf 4330V Quenched, tempered Mil Hdbk 5G Table 2.3.0.2"
